user_id,total_comments,harmful_comments,avg_severity,harmful_ratio
1,1,0,0.0,0.0
2,9,6,1.1111111111111112,0.6666666666666666
3,6,5,1.5,0.8333333333333334
4,5,4,1.6,0.8
5,4,3,1.75,0.75
6,5,4,1.4,0.8
7,5,5,2.0,1.0
8,4,3,1.5,0.75
9,2,0,0.0,0.0
10,5,3,1.0,0.6
11,5,3,1.2,0.6
12,6,4,1.6666666666666667,0.6666666666666666
13,8,6,1.0,0.75
14,10,6,0.8,0.6
15,4,1,0.25,0.25
16,5,4,1.2,0.8
17,5,3,1.4,0.6
18,7,3,1.0,0.42857142857142855
19,4,4,1.5,1.0
20,2,1,1.0,0.5
21,4,3,1.75,0.75
22,6,5,1.3333333333333333,0.8333333333333334
23,2,1,1.5,0.5
24,4,2,1.25,0.5
25,5,4,1.8,0.8
26,9,6,1.5555555555555556,0.6666666666666666
27,4,1,0.75,0.25
28,5,4,1.8,0.8
29,6,5,1.3333333333333333,0.8333333333333334
30,12,9,1.9166666666666667,0.75
31,7,6,1.4285714285714286,0.8571428571428571
32,2,1,1.0,0.5
33,3,3,1.3333333333333333,1.0
34,5,2,1.2,0.4
35,4,1,0.25,0.25
36,3,3,1.6666666666666667,1.0
37,7,6,1.7142857142857142,0.8571428571428571
38,5,4,1.4,0.8
39,6,5,2.0,0.8333333333333334
40,4,3,1.5,0.75
41,6,4,1.6666666666666667,0.6666666666666666
42,6,4,1.1666666666666667,0.6666666666666666
43,7,4,1.1428571428571428,0.5714285714285714
44,2,2,1.5,1.0
45,8,8,2.375,1.0
46,5,5,2.2,1.0
47,4,4,1.5,1.0
48,4,2,1.25,0.5
49,4,3,1.5,0.75
50,7,3,0.8571428571428571,0.42857142857142855
51,6,4,1.6666666666666667,0.6666666666666666
52,7,4,1.0,0.5714285714285714
53,5,3,1.2,0.6
54,4,4,2.5,1.0
55,10,9,2.2,0.9
56,3,2,1.3333333333333333,0.6666666666666666
57,7,6,1.7142857142857142,0.8571428571428571
58,7,4,1.0,0.5714285714285714
59,10,9,2.1,0.9
60,5,5,2.2,1.0
62,4,3,1.0,0.75
63,5,2,0.4,0.4
64,2,2,2.0,1.0
65,3,3,2.0,1.0
66,5,3,1.6,0.6
67,3,3,1.3333333333333333,1.0
68,3,2,0.6666666666666666,0.6666666666666666
69,5,4,1.6,0.8
70,8,6,1.0,0.75
71,7,3,1.1428571428571428,0.42857142857142855
72,3,3,2.3333333333333335,1.0
73,5,4,1.4,0.8
74,3,2,1.6666666666666667,0.6666666666666666
75,7,5,1.4285714285714286,0.7142857142857143
76,8,6,1.75,0.75
77,3,2,1.0,0.6666666666666666
79,4,4,1.75,1.0
80,8,5,1.25,0.625
81,4,2,1.25,0.5
82,3,1,0.6666666666666666,0.3333333333333333
83,8,5,1.5,0.625
